Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Jelovnik,HLADNA PREDJELA,dalmatinski pršut 100 g.,"masline, smokve, dalmatinski pršut",,"15,50","15,50",12,DA,DA,,Dalmatian prosciutto 100 g,"olives, figs, Dalmatian prosciutto",Dalmatiner-Prosciutto 100 g,"Oliven, Feigen, dalmatinischer Prosciutto",Prosciutto dalmata 100 g,"olive, fichi, prosciutto dalmata",jambon cru dalmate 100 g,jambon cru dalmate 100 g,Prosciutto dálmata 100 g,"aceitunas, higos, jamón dálmata",Presunto dálmata 100 g,"azeitonas, figos, presunto da Dalmácia",Dalmatische prosciutto 100 g,"olijven, vijgen, Dalmatische prosciutto",Prosciutto dalmatyńskie 100 g,"oliwki, figi, prosciutto dalmatyńskie",Далматинская прошутто 100 г,"оливки, инжир, далматинская прошутто",Dalmát sonka 100 g,"olajbogyó, füge, dalmát sonka",Dalmatský pršut 100 g,"olivy, fíky, dalmatský pršut",Dalmatínsky pršut 100 g,"olivy, figy, dalmatínsky pršut",Dalmatinski pršut 100 g,"olive, fige, dalmatinski pršut",Далматинська ветчина 100 г,"оливки, інжир, далматинська ветчина",Prosciutto dalmată 100 g,"măsline, smochine, prosciutto dalmat",prsut-sir.jpg
Jelovnik,HLADNA PREDJELA,ovčiji sir 100 g.,"masline, ukiseljene jabuke, ovčji sir",,"15,50","15,50","7,12",DA,DA,,sheep's cheese 100 g,"olives, pickled apples, sheep cheese",Schafskäse 100 g,"Oliven, eingelegte Äpfel, Schafskäse",formaggio di pecora 100 g,"olive, mele sottaceto, formaggio di pecora",fromage de brebis 100 g,fromage de brebis 100 g,queso de oveja 100 g,"aceitunas, manzanas encurtidas, queso de oveja",queijo de ovelha 100 g,"azeitonas, maçãs em conserva, queijo de ovelha",schapenkaas 100 g,"olijven, ingelegde appels, schapenkaas",ser owczy 100 g,"oliwki, marynowane jabłka, ser owczy",овечий сыр 100 г,"оливки, маринованные яблоки, овечий сыр",juhsajt 100 g,"olajbogyó, savanyított alma, juhsajt",ovčí sýr 100 g,"olivy, nakládaná jablka, ovčí sýr",ovčí syr 100 g,"olivy, nakladané jablká, ovčí syr",ovčji sir 100 g,"olive, vložena jabolka, ovčji sir",овечий сир 100 г,"оливки, мариновані яблука, овечий сир",brânză de oaie 100 g,"măsline, mere murate, brânză de oaie",ovcji-sir.jpg
Jelovnik,HLADNA PREDJELA,carpaccio juneći,"riga, chery, pinjoli, grana padano, carpaccio juneći",,"18,50","18,50","3,7,8,10",DA,DA,,beef carpaccio,"riga, chery, pine nuts, grana padano, beef carpaccio",Rindercarpaccio,"Riga, Kirsche, Pinienkerne, Grana Padano, Rindercarpaccio",carpaccio di manzo,"riga, ciliegia, pinoli, grana padano, carpaccio di manzo",carpaccio de bœuf,carpaccio de bœuf,carpaccio de ternera,"riga, chery, piñones, grana padano, carpaccio de ternera",carpaccio de carne,"riga, chery, pinhões, grana padano, carpaccio de carne",carpaccio van rundvlees,"riga, chery, pijnboompitten, grana padano, rundercarpaccio",carpaccio wołowe,"ryga, cherry, orzeszki piniowe, grana padano, carpaccio wołowe",говяжье карпаччо,"рига, чери, кедровые орехи, грана падано, карпаччо из говядины",marhahús carpaccio,"riga, cseresznye, fenyőmag, grana padano, marha carpaccio",hovězí carpaccio,"riga, chery, piniové oříšky, grana padano, hovězí carpaccio",hovädzie carpaccio,"riga, chery, píniové oriešky, grana padano, hovädzie carpaccio",goveji karpačo,"riga, chery, pinjole, grana padano, goveji karpačo",карпаччо з яловичини,"рига, чері, кедрові горіхи, грана падано, карпаччо з яловичини",carpaccio de vită,"riga, cireșe, nuci de pin, grana padano, carpaccio de vită",
Jelovnik,HLADNA PREDJELA,carpaccio hobotnica,"salata od celera, chery, bijeli grah, carpaccio od hobotnice",,"18,50","18,50","9,14",DA,DA,,octopus carpaccio,"celery salad, cherry, white beans, octopus carpaccio",Oktopus-Carpaccio,"Selleriesalat, Kirschen, weiße Bohnen, Oktopus-Carpaccio",carpaccio di polpo,"insalata di sedano, ciliegie, fagioli bianchi, carpaccio di polpo",carpaccio de poulpe,carpaccio de poulpe,carpaccio de pulpo,"ensalada de apio, cereza, judías blancas, carpaccio de pulpo",carpaccio de polvo,"Salada de aipo, cereja, feijão branco, carpaccio de polvo",octopuscarpaccio,"selderijsalade, kersen, witte bonen, octopuscarpaccio",carpaccio z ośmiornicy,"sałatka z selera, wiśnia, biała fasola, carpaccio z ośmiornicy",карпаччо из осьминога,"Салат из сельдерея, вишня, белая фасоль, карпаччо из осьминога",polip carpaccio,"zellersaláta, cseresznye, fehér bab, polip carpaccio",carpaccio z chobotnice,"celerový salát, třešeň, bílé fazole, carpaccio z chobotnice",carpaccio z chobotnice,"zelerový šalát, čerešňa, biela fazuľa, carpaccio z chobotnice",karpačo iz hobotnice,"solata iz zelene, češnje, beli fižol, karpačo iz hobotnice",карпаччо з восьминога,"салат з селери, вишня, біла квасоля, карпачо з восьминога",carpaccio de caracatiță,"salată de țelină, cireșe, fasole albă, carpaccio de caracatiță",carpaccio-hobotnica.jpg
Jelovnik,HLADNA PREDJELA,riblji mix,"slani inćini, marinirani inćuni, riblji pate",,"14,50","14,50","4,7,3,10",DA,DA,,fish mix,"salted anchovies, marinated anchovies, fish pâté",Fischmischung,"gesalzene Sardellen, marinierte Sardellen, Fischpastete",mix di pesce,"acciughe salate, acciughe marinate, paté di pesce",mélange de poisson,mélange de poisson,mezcla de pescado,"anchoas saladas, anchoas marinadas, paté de pescado",mistura de peixe,"anchovas salgadas, anchovas marinadas, patê de peixe",vismix,"gezouten ansjovis, gemarineerde ansjovis, vispaté",mieszanka rybna,"solone anchois, marynowane anchois, pasztet rybny",рыбная смесь,"соленые анчоусы, маринованные анчоусы, рыбный паштет",halkeverék,"sózott szardella, pácolt szardella, halpástétom",rybí směs,"solené ančovičky, marinované ančovičky, rybí paštika",rybia zmes,"solené ančovičky, marinované ančovičky, rybia paštéta",mešanica rib,"soljene inčune, marinirane inčune, ribja pašteta",рибна суміш,"солоні анчоуси, мариновані анчоуси, рибний паштет",amestec de pește,"hamsii sărate, hamsii marinate, pate de pește",
Jelovnik,HLADNA PREDJELA,mornarska riblja juha,riblja juha,,"8,50","8,50","4,9",DA,DA,,sailor fish soup,fish soup,Seemannsfischsuppe,Fischsuppe,zuppa di pesce marinaro,zuppa di pesce,soupe de poisson marin,soupe de poisson marin,sopa de pez marinero,sopa de pescado,sopa de peixe-marinheiro,sopa de peixe,zeemansvissoep,vissoep,zupa z ryby marynarskiej,zupa rybna,рыбный суп моряка,рыбный суп,tengerész halászlé,halászlé,námořnická rybí polévka,rybí polévka,námornícka rybia polievka,rybia polievka,mornarska ribja juha,ribja juha,суп з риби моряка,рибний суп,supă de pește marinar,supă de pește,riblja-juha.jpg
Jelovnik,HLADNA PREDJELA,krem juha od rakova,juha od rakova,,"8,50","8,50","1,2,4,7,9",DA,DA,,crab cream soup,crab soup,Krabbencremesuppe,Krabbensuppe,zuppa cremosa di granchio,zuppa di granchio,soupe crémeuse au crabe,soupe crémeuse au crabe,sopa de crema de cangrejo,sopa de cangrejo,sopa cremosa de caranguejo,sopa de caranguejo,krabroomsoep,krabsoep,zupa krem ​​z kraba,zupa krabowa,крабовый крем-суп,крабовый суп,rákkrémleves,rákleves,krabí krémová polévka,krabí polévka,krabia krémová polievka,krabia polievka,kremna juha iz rakovice,juha iz rakovice,крабовий крем-суп,крабовий суп,supă cremă de crab,supă de crab,krem-juha-rakovi.jpg
Jelovnik,HLADNA PREDJELA,krem juha od rajčice s mozzarelom,"rajčica, mozzarela",,"7,00","7,00","7,9",DA,DA,,tomato cream soup with mozzarella,"tomato, mozzarella",Tomatencremesuppe mit Mozzarella,"Tomaten, Mozzarella",zuppa cremosa di pomodoro con mozzarella,"pomodoro, mozzarella",soupe crémeuse à la tomate et à la mozzarella,soupe crémeuse à la tomate et à la mozzarella,crema de tomate con mozzarella,"tomate, mozzarella",Sopa cremosa de tomate com mussarela,"tomate, mussarela",Tomatenroomsoep met mozzarella,"tomaat, mozzarella",zupa krem ​​pomidorowy z mozzarellą,"pomidor, mozzarella",Томатный сливочный суп с моцареллой,"помидоры, моцарелла",paradicsomos krémleves mozzarellával,"paradicsom, mozzarella",rajčatová krémová polévka s mozzarellou,"rajče, mozzarella",paradajková krémová polievka s mozzarellou,"paradajka, mozzarella",paradižnikova kremna juha z mocarelo,"paradižnik, mocarela",томатний крем-суп з моцарелою,"помідор, моцарела",supă cremă de roșii cu mozzarella,"roșii, mozzarella",
Jelovnik,HLADNA PREDJELA,goveđa juha sa rezancima,"goveđa juha, rezanci",,"6,50","6,50","1,3,9,",DA,DA,,beef soup with noodles,"beef soup, noodles",Rindfleischsuppe mit Nudeln,"Rindfleischsuppe, Nudeln",zuppa di manzo con tagliatelle,"zuppa di manzo, tagliatelle",soupe de bœuf aux nouilles,soupe de bœuf aux nouilles,sopa de carne con fideos,"sopa de carne, fideos",sopa de carne com macarrão,"sopa de carne, macarrão",rundvleessoep met noedels,"rundvleessoep, noedels",zupa wołowa z makaronem,zupa wołowa z makaronem,говяжий суп с лапшой,"говяжий суп, лапша",marhahúsleves tésztával,"marhahúsleves, tészta",hovězí polévka s nudlemi,"hovězí polévka, nudle",hovädzia polievka s rezancami,"hovädzia polievka, rezance",goveja juha z rezanci,"goveja juha, rezanci",яловичий суп з локшиною,"яловичий суп, локшина",supă de vită cu tăiței,"supă de vită, tăiței",
Jelovnik,TJESTENINE I RIŽOTI,ravioli punjeni jakobovom kapicom i kozicom,nježni umak od rakova i caviara,,"21,00","21,00","1,2,3,4,7,12,14,",DA,DA,,ravioli stuffed with capellini and shrimp,delicate crab and caviar sauce,Ravioli gefüllt mit Capellini und Garnelen,delikate Krabben- und Kaviarsauce,ravioli ripieni di capellini e gamberi,delicata salsa di granchio e caviale,raviolis farcis aux capellini et aux crevettes,raviolis farcis aux capellini et aux crevettes,Raviolis rellenos de capellini y camarones,delicada salsa de cangrejo y caviar,ravióli recheado com capellini e camarão,molho delicado de caranguejo e caviar,ravioli gevuld met capellini en garnalen,delicate krab- en kaviaarsaus,ravioli faszerowane kapelusikami i krewetkami,delikatny sos krabowo-kawiorowy,"равиоли, фаршированные капеллини и креветками",нежный соус из краба и икры,capellinivel és garnélával töltött ravioli,finom rák- és kaviármártás,ravioli plněné kapellini a krevetami,jemná omáčka z kraba a kaviáru,ravioli plnené kapellini a krevetami,jemná omáčka z krabov a kaviáru,"ravioli, polnjeni s kapelini in kozicami",nežna omaka iz rakovic in kaviarja,"равіолі, фаршировані капеліні та креветками",ніжний соус з краба та ікри,ravioli umpluți cu capellini și creveți,sos delicat de crab și caviar,ravioli-kapice-kozice.jpg
